,Entity,Code,Year,SFa‚gases,PFC gases,HFC gases,Nitrous oxide,Methane,Carbon Dioxide
13089,World,OWID_WRL,1970,,,,2225930200.0,5305820000.0,14788798314.0
13090,World,OWID_WRL,1971,,,,2089238800.0,5145430000.0,15323175556.0
13091,World,OWID_WRL,1972,,,,2245410600.0,5360610000.0,15957192522.0
13092,World,OWID_WRL,1973,,,,2291020900.0,5421500000.0,16822109477.000004
13093,World,OWID_WRL,1974,,,,2240345200.0,5379140000.0,16850822087.000004
13094,World,OWID_WRL,1975,,,,2329578700.0,5503270000.0,16745791873.0
13095,World,OWID_WRL,1976,,,,2412556400.0,5649430000.0,17726098317.0
13096,World,OWID_WRL,1977,,,,2524965500.0,5796380000.0,18279804316.0
13097,World,OWID_WRL,1978,,,,2552326100.0,5795950000.0,18497906475.0
13098,World,OWID_WRL,1979,,,,2710503600.0,5972760000.0,19533547949.0
13099,World,OWID_WRL,1980,,,,2732925900.0,6011410000.0,19324327264.0
13100,World,OWID_WRL,1981,,,,2636112900.0,5871770000.0,18726246898.0
13101,World,OWID_WRL,1982,,,,2803906600.0,6289190000.0,18562354000.0
13102,World,OWID_WRL,1983,,,,2778356400.0,6140330000.0,18484356910.0
13103,World,OWID_WRL,1984,,,,2693295500.0,5987230000.0,19145865375.0
13104,World,OWID_WRL,1985,,,,2695397300.0,6039460000.0,19719241162.0
13105,World,OWID_WRL,1986,,,,2747396700.0,6198880000.0,20315356016.0
13106,World,OWID_WRL,1987,,,,2928827300.0,6463470000.0,20817151963.0
13107,World,OWID_WRL,1988,,,,2791221400.0,6290090000.0,21565403313.0
13108,World,OWID_WRL,1989,,,,2840340900.0,6429940000.0,22029385156.0
13109,World,OWID_WRL,1990,,,,2953007300.0,6668380000.0,22149402399.0
13110,World,OWID_WRL,1991,,,,2904557400.0,6708550000.0,22403928869.0
13111,World,OWID_WRL,1992,,,,3076061800.0,6846520000.0,22183417491.0
13112,World,OWID_WRL,1993,,,,2848968200.0,6503170000.0,22162174560.0
13113,World,OWID_WRL,1994,,,,2955369500.0,6617590000.0,22551690634.0
13114,World,OWID_WRL,1995,,,,2978718700.0,6556730000.0,23037524130.0
13115,World,OWID_WRL,1996,,,,3011978600.0,6551630000.0,23571556674.0
13116,World,OWID_WRL,1997,,,,3236772000.0,7211170000.0,23975007348.0
13117,World,OWID_WRL,1998,,,,3120987000.0,6681100000.0,24114192000.0
13118,World,OWID_WRL,1999,,,,2955561700.0,6503140000.0,24059187000.0
13119,World,OWID_WRL,2000,,,,2920510000.0,6480650000.0,24689911000.0
13120,World,OWID_WRL,2001,,,,2785436800.0,6591630000.0,25276631000.0
13121,World,OWID_WRL,2002,,,,2850332200.0,6789740000.0,25646998000.0
13122,World,OWID_WRL,2003,,,,2836658100.0,6831780000.0,27047792000.0
13123,World,OWID_WRL,2004,,,,2907452800.0,7088150000.0,28393581000.0
13124,World,OWID_WRL,2005,,,,2965813400.0,7275910000.0,29490014000.0
13125,World,OWID_WRL,2006,,,,3100186000.0,7617940000.0,30568112000.0
13126,World,OWID_WRL,2007,,,,3260053000.0,7697440000.0,31180501000.0
13127,World,OWID_WRL,2008,,,,3031989100.0,7643170000.0,32181592000.0
13128,World,OWID_WRL,2009,,,,3068677600.0,7774920000.0,31891899000.0
13129,World,OWID_WRL,2010,174905385.537478,78622308.6045626,834345574.845633,3084899900.0,7815790000.0,33472376000.0
13130,World,OWID_WRL,2011,,,,3123551396.8246093,7927060644.515359,34847501000.0
13131,World,OWID_WRL,2012,,,,3153742479.04923,8014066561.684441,35470891000.0
