,Unnamed: 0,Entity,Code,Year,Annual_biofuel_consumption,Continent
0,0,North America,,2000,118.7162,
1,1,North America,,2001,140.7847,
2,2,North America,,2002,190.13275,
3,3,North America,,2003,237.7285,
4,4,North America,,2004,276.67476,
5,5,North America,,2005,379.94628,
6,6,North America,,2006,494.2271,
7,7,North America,,2007,676.27757,
8,8,North America,,2008,768.49596,
9,9,North America,,2009,888.303,
70,70,Central & South America,,2000,142.59798,
71,71,Central & South America,,2001,161.38807,
72,72,Central & South America,,2002,145.33577,
73,73,Central & South America,,2003,178.31824,
74,74,Central & South America,,2004,184.3888,
75,75,Central & South America,,2005,201.67622,
76,76,Central & South America,,2006,275.60815,
77,77,Central & South America,,2007,364.37384,
78,78,Central & South America,,2008,438.07631,
79,79,Central & South America,,2009,455.46686,
530,530,Europe,,2000,18.72,
531,531,Europe,,2001,25.76,
532,532,Europe,,2002,33.96,
533,533,Europe,,2003,48.17,
534,534,Europe,,2004,72.5093,
535,535,Europe,,2005,123.021,
536,536,Europe,,2006,173.386,
537,537,Europe,,2007,238.18,
538,538,Europe,,2008,292.545,
539,539,Europe,,2009,329.635,
1270,1270,Africa,,2000,0.2,
1271,1271,Africa,,2001,0.2,
1272,1272,Africa,,2002,0.2,
1273,1273,Africa,,2003,0.2,
1274,1274,Africa,,2004,0.1,
1275,1275,Africa,,2005,0.1,
1276,1276,Africa,,2006,0.4,
1277,1277,Africa,,2007,0.635,
1278,1278,Africa,,2008,0.15,
1279,1279,Africa,,2009,0.2,
1840,1840,Asia & Oceania,,2000,3.1,
1841,1841,Asia & Oceania,,2001,8.32,
1842,1842,Asia & Oceania,,2002,17.44,
1843,1843,Asia & Oceania,,2003,21.3,
1844,1844,Asia & Oceania,,2004,27.88,
1845,1845,Asia & Oceania,,2005,42.0605,
1846,1846,Asia & Oceania,,2006,45.79,
1847,1847,Asia & Oceania,,2007,68.85,
1848,1848,Asia & Oceania,,2008,83.1501,
1849,1849,Asia & Oceania,,2009,91.9705,
