,Unnamed: 0,Entity,Code,Year,Annual_biofuel_production
0,0,North America,,2000,119.60946
1,1,North America,,2001,144.29389
2,2,North America,,2002,187.86691
3,3,North America,,2003,227.29032
4,4,North America,,2004,265.21215
5,5,North America,,2005,340.15054
6,6,North America,,2006,472.83005
7,7,North America,,2007,666.47907
8,8,North America,,2008,768.71809
9,9,North America,,2009,914.4242
70,70,Central & South America,,2000,198.80565
71,71,Central & South America,,2001,221.35167
72,72,Central & South America,,2002,254.77137
73,73,Central & South America,,2003,256.97708
74,74,Central & South America,,2004,285.22176
75,75,Central & South America,,2005,330.53949
76,76,Central & South America,,2006,425.88543
77,77,Central & South America,,2007,533.67376
78,78,Central & South America,,2008,533.48639
79,79,Central & South America,,2009,588.25312
530,530,Europe,,2000,21.15
531,531,Europe,,2001,29.3
532,532,Europe,,2002,39.33
533,533,Europe,,2003,48.85
534,534,Europe,,2004,76.82
535,535,Europe,,2005,123.66
536,536,Europe,,2006,153.6
537,537,Europe,,2007,196.95
538,538,Europe,,2008,231.48
539,539,Europe,,2009,248.311
1270,1270,Africa,,2000,0.2
1271,1271,Africa,,2001,0.2
1272,1272,Africa,,2002,0.2
1273,1273,Africa,,2003,0.2
1274,1274,Africa,,2004,0.2
1275,1275,Africa,,2005,0.3
1276,1276,Africa,,2006,0.2
1277,1277,Africa,,2007,0.345
1278,1278,Africa,,2008,0.51
1279,1279,Africa,,2009,0.99
1840,1840,Asia & Oceania,,2000,3.1
1841,1841,Asia & Oceania,,2001,8.32
1842,1842,Asia & Oceania,,2002,17.24
1843,1843,Asia & Oceania,,2003,21.1
1844,1844,Asia & Oceania,,2004,28.22
1845,1845,Asia & Oceania,,2005,44.9005
1846,1846,Asia & Oceania,,2006,49.222
1847,1847,Asia & Oceania,,2007,75.573
1848,1848,Asia & Oceania,,2008,93.7671
1849,1849,Asia & Oceania,,2009,99.2105
